inventory_id,product_id,warehouse_id,current_stock,safety_stock,last_updated
86,36,2,142,28,2023-03-27
87,37,2,12,5,2023-03-28
88,38,2,18,42,2023-03-29
89,39,2,98,17,2023-03-30
90,40,2,111,36,2023-03-31
91,41,2,172,37,2023-04-01
92,42,2,83,46,2023-04-02
93,43,2,84,46,2023-04-03
94,44,2,159,39,2023-04-04
95,45,2,14,10,2023-04-05
96,46,2,88,15,2023-04-06
97,47,2,157,9,2023-04-07
98,48,2,145,43,2023-04-08
99,49,2,25,8,2023-04-09
100,50,2,196,36,2023-04-10
101,1,3,166,25,2023-04-11
102,2,3,96,39,2023-04-12
103,3,3,112,24,2023-04-13
104,4,3,187,36,2023-04-14
105,5,3,151,41,2023-04-15
106,6,3,108,44,2023-04-16
107,7,3,195,49,2023-04-17
108,8,3,112,20,2023-04-18
109,9,3,76,21,2023-04-19
110,10,3,140,38,2023-04-20
111,11,3,36,17,2023-04-21
112,12,3,85,25,2023-04-22
113,13,3,186,20,2023-04-23
114,14,3,98,42,2023-04-24
115,15,3,172,42,2023-04-25
116,16,3,139,17,2023-04-26
117,17,3,107,6,2023-04-27
118,18,3,40,47,2023-04-28
119,19,3,159,22,2023-04-29
120,20,3,88,47,2023-04-30
121,21,3,52,12,2023-05-01
122,22,3,188,33,2023-05-02
123,23,3,97,26,2023-05-03
124,24,3,65,27,2023-05-04
125,25,3,47,23,2023-05-05
126,26,3,137,42,2023-05-06
127,27,3,19,27,2023-05-07
128,28,3,140,37,2023-05-08
129,29,3,10,37,2023-05-09
130,30,3,57,30,2023-05-10
131,31,3,44,21,2023-05-11
132,32,3,27,10,2023-05-12
133,33,3,196,48,2023-05-13
134,34,3,193,23,2023-05-14
135,35,3,109,42,2023-05-15
136,36,3,56,46,2023-05-16
137,37,3,117,47,2023-05-17
138,38,3,69,5,2023-05-18
139,39,3,186,22,2023-05-19
140,40,3,20,29,2023-05-20
141,41,3,161,14,2023-05-21
142,42,3,23,33,2023-05-22
143,43,3,108,24,2023-05-23
144,44,3,184,47,2023-05-24
145,45,3,11,44,2023-05-25
146,46,3,133,5,2023-05-26
147,47,3,30,21,2023-05-27
148,48,3,169,49,2023-05-28
149,49,3,173,46,2023-05-29
150,50,3,186,6,2023-05-30
151,1,4,121,46,2023-05-31
152,2,4,160,44,2023-06-01
153,3,4,109,9,2023-06-02
154,4,4,107,23,2023-06-03
155,5,4,184,15,2023-06-04
156,6,4,140,43,2023-06-05
157,7,4,36,28,2023-06-06
158,8,4,33,41,2023-06-07
159,9,4,53,30,2023-06-08
160,10,4,145,12,2023-06-09
161,11,4,102,49,2023-06-10
162,12,4,46,11,2023-06-11
163,13,4,119,48,2023-06-12
164,14,4,186,16,2023-06-13
165,15,4,48,47,2023-06-14
166,16,4,178,42,2023-06-15
167,17,4,159,24,2023-06-16
168,18,4,142,22,2023-06-17
169,19,4,54,46,2023-06-18
170,20,4,173,28,2023-06-19
171,21,4,57,31,2023-06-20
172,22,4,145,6,2023-06-21
173,23,4,36,48,2023-06-22
174,24,4,111,47,2023-06-23
175,25,4,149,24,2023-06-24
176,26,4,175,39,2023-06-25
177,27,4,195,24,2023-06-26
178,28,4,182,33,2023-06-27
179,29,4,58,31,2023-06-28
180,30,4,82,6,2023-06-29
181,31,4,58,32,2023-06-30
182,32,4,83,13,2023-07-01
183,33,4,54,20,2023-07-02
184,34,4,175,23,2023-07-03
185,35,4,182,21,2023-07-04
186,36,4,166,19,2023-07-05
187,37,4,187,21,2023-07-06
188,38,4,43,9,2023-07-07
189,39,4,72,43,2023-07-08
190,40,4,20,34,2023-07-09
191,41,4,115,34,2023-07-10
192,42,4,167,40,2023-07-11
193,43,4,149,7,2023-07-12
194,44,4,123,45,2023-07-13
195,45,4,124,38,2023-07-14
196,46,4,70,35,2023-07-15
197,47,4,170,49,2023-07-16
198,48,4,174,27,2023-07-17
199,49,4,164,38,2023-07-18
200,50,4,38,46,2023-07-19
201,1,5,147,49,2023-07-20
202,2,5,109,24,2023-07-21
203,3,5,123,33,2023-07-22
204,4,5,54,23,2023-07-23
205,5,5,114,29,2023-07-24
206,6,5,122,35,2023-07-25
207,7,5,59,25,2023-07-26
208,8,5,29,27,2023-07-27
209,9,5,145,45,2023-07-28
210,10,5,12,41,2023-07-29
211,11,5,150,25,2023-07-30
212,12,5,112,21,2023-07-31
213,13,5,27,8,2023-08-01
214,14,5,39,16,2023-08-02
215,15,5,57,35,2023-08-03
216,16,5,28,11,2023-08-04
217,17,5,50,34,2023-08-05
218,18,5,100,23,2023-08-06
219,19,5,160,38,2023-08-07
220,20,5,49,5,2023-08-08
221,21,5,131,24,2023-08-09
222,22,5,174,41,2023-08-10
223,23,5,58,8,2023-08-11
224,24,5,138,27,2023-08-12
225,25,5,194,49,2023-08-13
226,26,5,14,38,2023-08-14
227,27,5,105,40,2023-08-15
228,28,5,65,19,2023-08-16
229,29,5,53,47,2023-08-17
230,30,5,145,12,2023-08-18
231,31,5,109,5,2023-08-19
232,32,5,175,10,2023-08-20
233,33,5,42,31,2023-08-21
234,34,5,101,29,2023-08-22
235,35,5,10,45,2023-08-23
236,36,5,43,40,2023-08-24
237,37,5,150,41,2023-08-25
238,38,5,171,34,2023-08-26
239,39,5,115,12,2023-08-27
240,40,5,148,45,2023-08-28
241,41,5,34,12,2023-08-29
242,42,5,185,5,2023-08-30
243,43,5,177,37,2023-08-31
244,44,5,91,22,2023-09-01
245,45,5,33,12,2023-09-02
246,46,5,192,32,2023-09-03
247,47,5,105,23,2023-09-04
248,48,5,15,6,2023-09-05
249,49,5,107,9,2023-09-06
250,50,5,46,38,2023-09-07
